
2025-07-12T03:51:13.635Z /script.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:13.640Z /png/Background/starBackground.png  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:13.657Z /config.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0.0
2025-07-12T03:51:13.661Z /lifeCounter.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:13.670Z /png/life.png  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0.0
2025-07-12T03:51:13.679Z /favicon.ico  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:14.734Z /png/enemyShip.png  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0.0
2025-07-12T03:51:18.358Z /logout  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:18.366Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:18.405Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:18.408Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:18.412Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:38.900Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:38.927Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:38.930Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:38.933Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:50.958Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:50.984Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:50.987Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:51:50.991Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
